"","kernel","cost","degree","error","dispersion"
"199","radial",4,4,0.295887445887446,0.11170010303504
"200","sigmoid",4,4,0.231168831168831,0.0712775525398699
"201","linear",5,4,0.235930735930736,0.0772915540596945
"202","polynomial",5,4,0.454112554112554,0.114196949801532
"203","radial",5,4,0.286796536796537,0.115378094811456
"204","sigmoid",5,4,0.240909090909091,0.0956746411934206
"205","linear",6,4,0.231385281385281,0.0762162299602034
"206","polynomial",6,4,0.453896103896104,0.121859101010106
"207","radial",6,4,0.286796536796537,0.115378094811456
"208","sigmoid",6,4,0.25,0.0705615164092667
"209","linear",7,4,0.226839826839827,0.0778271561232094
"210","polynomial",7,4,0.459090909090909,0.112884085446735
"211","radial",7,4,0.286796536796537,0.115378094811456
"212","sigmoid",7,4,0.254545454545455,0.0670584367105539
"213","linear",8,4,0.236147186147186,0.0804753120439444
"214","polynomial",8,4,0.463636363636364,0.115596935330871
"215","radial",8,4,0.291341991341991,0.117625419773385
"216","sigmoid",8,4,0.268614718614719,0.0655530160398172
"217","linear",9,4,0.245238095238095,0.0752096588059333
"218","polynomial",9,4,0.463852813852814,0.12482191858697
"219","radial",9,4,0.291341991341991,0.117625419773385
"220","sigmoid",9,4,0.273160173160173,0.0804452273908325
"221","linear",10,4,0.254761904761905,0.0861403576033905
"222","polynomial",10,4,0.472943722943723,0.117996805321598
"223","radial",10,4,0.296103896103896,0.109486634995941
"224","sigmoid",10,4,0.25,0.0626605826921385
"225","linear",1e-04,5,0.888961038961039,0.0541274630736246
"226","polynomial",1e-04,5,0.921212121212121,0.0225911542560355
"227","radial",1e-04,5,0.893506493506493,0.0492082534236076
"228","sigmoid",1e-04,5,0.888961038961039,0.0541274630736246
"229","linear",0.001,5,0.888961038961039,0.0541274630736246
"230","polynomial",0.001,5,0.921212121212121,0.0225911542560355
"231","radial",0.001,5,0.893506493506493,0.0492082534236076
"232","sigmoid",0.001,5,0.888961038961039,0.0541274630736246
"233","linear",0.01,5,0.235281385281385,0.0805826194029184
"234","polynomial",0.01,5,0.925757575757576,0.0243830952669073
"235","radial",0.01,5,0.893506493506493,0.0492082534236076
"236","sigmoid",0.01,5,0.888961038961039,0.0541274630736246
"237","linear",0.1,5,0.221645021645022,0.0595419535947967
"238","polynomial",0.1,5,0.907142857142857,0.0386585715268142
"239","radial",0.1,5,0.814285714285714,0.0701809207357551
"240","sigmoid",0.1,5,0.277056277056277,0.0621329008415901
"241","linear",1,5,0.217965367965368,0.0562497621309932
"242","polynomial",1,5,0.658225108225108,0.075046133746941
"243","radial",1,5,0.290909090909091,0.099750964766763
"244","sigmoid",1,5,0.208225108225108,0.0739585751474175
"245","linear",2,5,0.222510822510823,0.054822661533762
"246","polynomial",2,5,0.574891774891775,0.0825114231283347
"247","radial",2,5,0.30995670995671,0.116975717331518
"248","sigmoid",2,5,0.226406926406926,0.0835521511351858
"249","linear",3,5,0.235930735930736,0.0704710848316005
"250","polynomial",3,5,0.519264069264069,0.099840945535606
"251","radial",3,5,0.300865800865801,0.117832355916846
"252","sigmoid",3,5,0.236580086580087,0.101334513059874
"253","linear",4,5,0.235930735930736,0.0772915540596945
"254","polynomial",4,5,0.514502164502164,0.111546204959309
"255","radial",4,5,0.295887445887446,0.11170010303504
"256","sigmoid",4,5,0.231168831168831,0.0712775525398699
"257","linear",5,5,0.235930735930736,0.0772915540596945
"258","polynomial",5,5,0.500649350649351,0.108638220681025
"259","radial",5,5,0.286796536796537,0.115378094811456
"260","sigmoid",5,5,0.240909090909091,0.0956746411934206
"261","linear",6,5,0.231385281385281,0.0762162299602034
"262","polynomial",6,5,0.472510822510822,0.116307393314144
"263","radial",6,5,0.286796536796537,0.115378094811456
"264","sigmoid",6,5,0.25,0.0705615164092667
"265","linear",7,5,0.226839826839827,0.0778271561232094
"266","polynomial",7,5,0.467965367965368,0.0975430551596868
"267","radial",7,5,0.286796536796537,0.115378094811456
"268","sigmoid",7,5,0.254545454545455,0.0670584367105539
"269","linear",8,5,0.236147186147186,0.0804753120439444
"270","polynomial",8,5,0.477056277056277,0.100349312548014
"271","radial",8,5,0.291341991341991,0.117625419773385
"272","sigmoid",8,5,0.268614718614719,0.0655530160398172
"273","linear",9,5,0.245238095238095,0.0752096588059333
"274","polynomial",9,5,0.472510822510823,0.113924255673162
"275","radial",9,5,0.291341991341991,0.117625419773385
"276","sigmoid",9,5,0.273160173160173,0.0804452273908325
"277","linear",10,5,0.254761904761905,0.0861403576033905
"278","polynomial",10,5,0.467965367965368,0.11952024769789
"279","radial",10,5,0.296103896103896,0.109486634995941
"280","sigmoid",10,5,0.25,0.0626605826921385
