"","kernel","cost","degree","error","dispersion"
"81","linear",3,2,0.237012987012987,0.0553560819893674
"82","polynomial",3,2,0.436796536796537,0.113932251808709
"83","radial",3,2,0.311038961038961,0.0723305822743467
"84","sigmoid",3,2,0.217748917748918,0.0578569804540215
"85","linear",4,2,0.246320346320346,0.0579881939308159
"86","polynomial",4,2,0.451082251082251,0.12521395061035
"87","radial",4,2,0.301948051948052,0.0706794568689605
"88","sigmoid",4,2,0.240692640692641,0.0482359791651112
"89","linear",5,2,0.241341991341991,0.0547509243022383
"90","polynomial",5,2,0.446536796536797,0.120302754233708
"91","radial",5,2,0.297402597402597,0.0741441607923892
"92","sigmoid",5,2,0.237012987012987,0.0762831354222719
"93","linear",6,2,0.241341991341991,0.0547509243022383
"94","polynomial",6,2,0.446536796536797,0.120302754233708
"95","radial",6,2,0.292857142857143,0.0771570726093646
"96","sigmoid",6,2,0.218398268398268,0.0694550787382471
"97","linear",7,2,0.245887445887446,0.0463021366480379
"98","polynomial",7,2,0.46038961038961,0.117234653872647
"99","radial",7,2,0.297402597402597,0.0676689214784844
"100","sigmoid",7,2,0.232683982683983,0.0701842585077335
"101","linear",8,2,0.245887445887446,0.0350087733665034
"102","polynomial",8,2,0.464718614718615,0.104356294044424
"103","radial",8,2,0.297402597402597,0.0676689214784844
"104","sigmoid",8,2,0.213419913419913,0.0466828251284147
"105","linear",9,2,0.245887445887446,0.0350087733665034
"106","polynomial",9,2,0.464502164502165,0.0931278296508441
"107","radial",9,2,0.301948051948052,0.0601512689389982
"108","sigmoid",9,2,0.228354978354978,0.0763377086537885
"109","linear",10,2,0.241125541125541,0.0391768912441516
"110","polynomial",10,2,0.473809523809524,0.104701911594271
"111","radial",10,2,0.297402597402597,0.0605046220425755
"112","sigmoid",10,2,0.227922077922078,0.0562960156023904
"113","linear",1e-04,3,0.880735930735931,0.0883916420267321
"114","polynomial",1e-04,3,0.921645021645022,0.0309119067220222
"115","radial",1e-04,3,0.88982683982684,0.0744262179916682
"116","sigmoid",1e-04,3,0.885281385281385,0.0775269228032527
"117","linear",0.001,3,0.880735930735931,0.0883916420267321
"118","polynomial",0.001,3,0.921645021645022,0.0309119067220222
"119","radial",0.001,3,0.88982683982684,0.0744262179916682
"120","sigmoid",0.001,3,0.885281385281385,0.0775269228032527
"121","linear",0.01,3,0.246320346320346,0.0827357181209619
"122","polynomial",0.01,3,0.921645021645022,0.0309119067220222
