"","kernel","cost","degree","error","dispersion"
"85","linear",4,2,0.833766233766234,0.0728665721999421
"86","polynomial",4,2,0.898917748917749,0.0460298234975128
"87","radial",4,2,0.824891774891775,0.0498143870028411
"88","sigmoid",4,2,0.819047619047619,0.0470383058007217
"89","linear",5,2,0.824675324675325,0.0910349800611111
"90","polynomial",5,2,0.88982683982684,0.0604809572544427
"91","radial",5,2,0.815800865800866,0.0542177908869382
"92","sigmoid",5,2,0.814502164502165,0.0620494815248078
"93","linear",6,2,0.829004329004329,0.0946679334306304
"94","polynomial",6,2,0.898917748917749,0.0551091489387974
"95","radial",6,2,0.787878787878788,0.0668858798547001
"96","sigmoid",6,2,0.828571428571429,0.0689537299631354
"97","linear",7,2,0.833766233766234,0.0845345174189935
"98","polynomial",7,2,0.898917748917749,0.0551091489387974
"99","radial",7,2,0.792207792207792,0.0645733068838801
"100","sigmoid",7,2,0.814718614718615,0.0647841761418231
"101","linear",8,2,0.838311688311688,0.0848249837387166
"102","polynomial",8,2,0.908008658008658,0.0421105551046401
"103","radial",8,2,0.787445887445887,0.0686814117419548
"104","sigmoid",8,2,0.81017316017316,0.0667694247506499
"105","linear",9,2,0.828787878787879,0.087771089141274
"106","polynomial",9,2,0.903463203463203,0.0388566824314947
"107","radial",9,2,0.792207792207792,0.0645733068838801
"108","sigmoid",9,2,0.819264069264069,0.0706205112600669
"109","linear",10,2,0.833549783549784,0.0909689099786399
"110","polynomial",10,2,0.903246753246753,0.0391217092193035
"111","radial",10,2,0.801298701298701,0.0567908612938792
"112","sigmoid",10,2,0.823809523809524,0.0781102425890094
"113","linear",1e-04,3,0.945238095238095,0.0558410795935593
"114","polynomial",1e-04,3,0.94978354978355,0.045182308512071
"115","radial",1e-04,3,0.94978354978355,0.0500057779186881
"116","sigmoid",1e-04,3,0.945238095238095,0.0515663586789007
"117","linear",0.001,3,0.945238095238095,0.0558410795935593
"118","polynomial",0.001,3,0.94978354978355,0.045182308512071
"119","radial",0.001,3,0.94978354978355,0.0500057779186881
"120","sigmoid",0.001,3,0.945238095238095,0.0515663586789007
"121","linear",0.01,3,0.930952380952381,0.0386585715268142
"122","polynomial",0.01,3,0.94978354978355,0.045182308512071
"123","radial",0.01,3,0.94978354978355,0.0500057779186881
"124","sigmoid",0.01,3,0.945238095238095,0.0515663586789007
"125","linear",0.1,3,0.871212121212121,0.0624525456547771
"126","polynomial",0.1,3,0.94047619047619,0.0530118942044523
"127","radial",0.1,3,0.94978354978355,0.0500057779186881
"128","sigmoid",0.1,3,0.940692640692641,0.0526468155473016
"129","linear",1,3,0.88008658008658,0.0432804222112957
"130","polynomial",1,3,0.917099567099567,0.068425129131898
"131","radial",1,3,0.88030303030303,0.0741079940202747
"132","sigmoid",1,3,0.851948051948052,0.0754318566477341
"133","linear",2,3,0.856493506493507,0.0713888414001324
"134","polynomial",2,3,0.926406926406926,0.0541269822034951
"135","radial",2,3,0.852380952380952,0.0461060978140895
"136","sigmoid",2,3,0.860606060606061,0.0628757970774746
"137","linear",3,3,0.838311688311688,0.0666367535946524
"138","polynomial",3,3,0.916666666666667,0.0610617275606449
"139","radial",3,3,0.842857142857143,0.0382762762889128
"140","sigmoid",3,3,0.837012987012987,0.0784550343228761
"141","linear",4,3,0.833766233766234,0.0728665721999421
"142","polynomial",4,3,0.916666666666667,0.0610617275606449
"143","radial",4,3,0.824891774891775,0.0498143870028411
"144","sigmoid",4,3,0.819047619047619,0.0470383058007217
"145","linear",5,3,0.824675324675325,0.0910349800611111
"146","polynomial",5,3,0.912121212121212,0.0596031217635511
"147","radial",5,3,0.815800865800866,0.0542177908869382
"148","sigmoid",5,3,0.814502164502165,0.0620494815248078
"149","linear",6,3,0.829004329004329,0.0946679334306304
"150","polynomial",6,3,0.912121212121212,0.0548074667824907
"151","radial",6,3,0.787878787878788,0.0668858798547001
"152","sigmoid",6,3,0.828571428571429,0.0689537299631354
"153","linear",7,3,0.833766233766234,0.0845345174189935
"154","polynomial",7,3,0.902813852813853,0.0503445191472089
"155","radial",7,3,0.792207792207792,0.0645733068838801
"156","sigmoid",7,3,0.814718614718615,0.0647841761418231
"157","linear",8,3,0.838311688311688,0.0848249837387166
"158","polynomial",8,3,0.898268398268398,0.0517472469755876
"159","radial",8,3,0.787445887445887,0.0686814117419548
