"","kernel","cost","degree","error","dispersion"
"46","polynomial",8,1,0.217316017316017,0.0601075491575835
"47","radial",8,1,0.286796536796537,0.097262204416661
"48","sigmoid",8,1,0.222510822510823,0.114092056833865
"49","linear",9,1,0.198051948051948,0.0919863903825374
"50","polynomial",9,1,0.217316017316017,0.0601075491575835
"51","radial",9,1,0.286796536796537,0.097262204416661
"52","sigmoid",9,1,0.246320346320346,0.128182883006221
"53","linear",10,1,0.202597402597403,0.0946745318019845
"54","polynomial",10,1,0.217316017316017,0.0601075491575835
"55","radial",10,1,0.286796536796537,0.097262204416661
"56","sigmoid",10,1,0.241125541125541,0.124224741607529
"57","linear",1e-04,2,0.86948051948052,0.142591069429789
"58","polynomial",1e-04,2,0.897619047619048,0.0991534687872084
"59","radial",1e-04,2,0.874025974025974,0.128600495853471
"60","sigmoid",1e-04,2,0.864718614718615,0.155617687249329
"61","linear",0.001,2,0.86948051948052,0.142591069429789
"62","polynomial",0.001,2,0.897619047619048,0.0991534687872084
"63","radial",0.001,2,0.874025974025974,0.128600495853471
"64","sigmoid",0.001,2,0.864718614718615,0.155617687249329
"65","linear",0.01,2,0.245454545454545,0.0617564158294989
"66","polynomial",0.01,2,0.897619047619048,0.0991534687872084
"67","radial",0.01,2,0.874025974025974,0.128600495853471
"68","sigmoid",0.01,2,0.864718614718615,0.155617687249329
"69","linear",0.1,2,0.203679653679654,0.076801371051696
"70","polynomial",0.1,2,0.897619047619048,0.0991534687872084
"71","radial",0.1,2,0.827489177489177,0.134837849145549
"72","sigmoid",0.1,2,0.290692640692641,0.102712159525004
"73","linear",1,2,0.203679653679654,0.0581285150882951
"74","polynomial",1,2,0.453896103896104,0.116696134264109
"75","radial",1,2,0.287445887445887,0.0984619850938184
"76","sigmoid",1,2,0.217532467532468,0.0806807515699119
"77","linear",2,2,0.198917748917749,0.0426534482328976
"78","polynomial",2,2,0.43982683982684,0.0996757881790536
"79","radial",2,2,0.291991341991342,0.0959376229331892
"80","sigmoid",2,2,0.208225108225108,0.0534865181397367
"81","linear",3,2,0.193939393939394,0.0542729704964424
"82","polynomial",3,2,0.434415584415584,0.0976883734599572
"83","radial",3,2,0.287229437229437,0.10492342225196
"84","sigmoid",3,2,0.189393939393939,0.0530609702140406
"85","linear",4,2,0.198051948051948,0.0813937879970937
"86","polynomial",4,2,0.448051948051948,0.100876019027974
"87","radial",4,2,0.282683982683983,0.111821905180356
"88","sigmoid",4,2,0.212337662337662,0.05532974479232
