"","size","decay","error","sd"
"47",25,0.47,0.212962962962963,0.0453609211626515
"48",25,0.48,0.25462962962963,0.0408877817885549
"49",25,0.49,0.231481481481481,0.0379516695035541
"50",25,0.5,0.226851851851852,0.0324734776236115
"51",25,0.51,0.222222222222222,0.0392837100659193
"52",25,0.52,0.222222222222222,0.052704627669473
"53",25,0.53,0.236111111111111,0.0760725774312731
"54",25,0.54,0.217592592592593,0.0324734776236114
"55",25,0.55,0.212962962962963,0.0625257148745709
"56",25,0.56,0.217592592592593,0.0369211148840313
"57",25,0.57,0.217592592592593,0.0273108911180604
"58",25,0.58,0.231481481481481,0.0336405594899721
"59",25,0.59,0.203703703703704,0.0286887655274623
"60",25,0.6,0.217592592592593,0.0324734776236114
"61",25,0.61,0.231481481481481,0.0226804605813257
"62",25,0.62,0.203703703703704,0.0649469552472229
"63",25,0.63,0.217592592592593,0.0408877817885549
"64",25,0.64,0.212962962962963,0.0336405594899721
"65",25,0.65,0.208333333333333,0.0489078246157195
"66",25,0.66,0.212962962962963,0.0379516695035541
"67",25,0.67,0.212962962962963,0.0226804605813257
"68",25,0.68,0.240740740740741,0.0738422297680626
"69",25,0.69,0.222222222222222,0.0555555555555556
"70",25,0.7,0.226851851851852,0.0593604460178689
"71",25,0.71,0.208333333333333,0.0421270858002864
"72",25,0.72,0.217592592592593,0.0593604460178689
"73",25,0.73,0.231481481481481,0.0418207029282823
"74",25,0.74,0.222222222222222,0.0464811125852264
"75",25,0.75,0.240740740740741,0.0672811189799443
"76",25,0.76,0.240740740740741,0.0336405594899721
"77",25,0.77,0.236111111111111,0.0627310543924234
"78",25,0.78,0.222222222222222,0.0702728368926307
"79",25,0.79,0.231481481481481,0.0573775310549247
"80",25,0.8,0.208333333333333,0.0340206908719886
"81",25,0.81,0.222222222222222,0.0633430791721743
"82",25,0.82,0.222222222222222,0.0430331482911935
"83",25,0.83,0.217592592592593,0.0273108911180604
"84",25,0.84,0.212962962962963,0.0486441686539396
"85",25,0.85,0.222222222222222,0.0464811125852264
"86",25,0.86,0.203703703703704,0.0379516695035541
"87",25,0.87,0.212962962962963,0.0379516695035541
"88",25,0.88,0.231481481481481,0.0418207029282823
"89",25,0.89,0.226851851851852,0.0478444840102363
"90",25,0.9,0.203703703703704,0.0286887655274623
"91",25,0.91,0.217592592592593,0.0408877817885549
"92",25,0.92,0.222222222222222,0.0464811125852264
"93",25,0.93,0.208333333333333,0.0576012259814659
"94",25,0.94,0.222222222222222,0.0248451997499977
"95",25,0.95,0.208333333333333,0.0152145154862546
"96",25,0.96,0.217592592592593,0.0273108911180604
"97",25,0.97,0.212962962962963,0.0379516695035541
"98",25,0.98,0.203703703703704,0.0286887655274623
"99",25,0.99,0.217592592592593,0.0273108911180604
"100",25,1,0.208333333333333,0.0456435464587638
"101",25,1.01,0.231481481481481,0.0418207029282823
"102",25,1.02,0.236111111111111,0.0421270858002864
"103",25,1.03,0.217592592592593,0.0445022771877701
"104",25,1.04,0.236111111111111,0.0232405562926132
"105",25,1.05,0.24537037037037,0.0408877817885549
"106",25,1.06,0.208333333333333,0.0340206908719886
"107",25,1.07,0.222222222222222,0.0464811125852264
"108",25,1.08,0.212962962962963,0.0418207029282823
"109",25,1.09,0.212962962962963,0.0517194075695146
"110",25,1.1,0.199074074074074,0.0408877817885548
"111",25,1.11,0.203703703703704,0.0336405594899721
"112",25,1.12,0.203703703703704,0.0486441686539396
"113",25,1.13,0.217592592592593,0.0478444840102363
"114",25,1.14,0.212962962962963,0.0573775310549247
